"UF";"Nome_UF";"MesorregiãoGeográfica";"MesorregiãoGeográfica_Nome";"MicrorregiãoGeográfica";"MicrorregiãoGeográfica_Nome";"Município";"Município_Nome";"Distrito";"Distrito_Nome";"Subdistrito";"Subdistrito_Nome"
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100015";"Alta Floresta D'Oeste";"30";"Rolim de Moura do Guaporé";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100015";"Alta Floresta D'Oeste";"20";"Izidolândia";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100015";"Alta Floresta D'Oeste";"25";"Nova Gease d'Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100015";"Alta Floresta D'Oeste";"35";"Santo Antônio d'Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100015";"Alta Floresta D'Oeste";"05";"Alta Floresta D'Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100015";"Alta Floresta D'Oeste";"15";"Filadélfia d'Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1100023";"Ariquemes";"05";"Ariquemes";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11008";"Colorado do Oeste";"1100031";"Cabixi";"05";"Cabixi";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100049";"Cacoal";"05";"Cacoal";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100049";"Cacoal";"10";"Riozinho";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11008";"Colorado do Oeste";"1100056";"Cerejeiras";"05";"Cerejeiras";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11008";"Colorado do Oeste";"1100064";"Colorado do Oeste";"05";"Colorado do Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11008";"Colorado do Oeste";"1100072";"Corumbiara";"05";"Corumbiara";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11002";"Guajará-Mirim";"1100080";"Costa Marques";"05";"Costa Marques";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11002";"Guajará-Mirim";"1100080";"Costa Marques";"15";"Príncipe da Beira";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100098";"Espigão D'Oeste";"05";"Espigão D'Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100098";"Espigão D'Oeste";"18";"Nova Esperança";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100098";"Espigão D'Oeste";"15";"Flor da Serra";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100098";"Espigão D'Oeste";"10";"Boa Vista do Pacarana";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100098";"Espigão D'Oeste";"12";"Novo Paraíso";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11002";"Guajará-Mirim";"1100106";"Guajará-Mirim";"22";"Surpresa";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11002";"Guajará-Mirim";"1100106";"Guajará-Mirim";"12";"Iata";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11002";"Guajará-Mirim";"1100106";"Guajará-Mirim";"05";"Guajará-Mirim";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100114";"Jaru";"20";"Santa Cruz da Serra";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100114";"Jaru";"25";"Tarilândia";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100114";"Jaru";"05";"Jaru";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100114";"Jaru";"10";"Bom Jesus";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100122";"Ji-Paraná";"05";"Ji-Paraná";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1100130";"Machadinho D'Oeste";"05";"Machadinho D'Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1100130";"Machadinho D'Oeste";"25";"Tabajara";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1100130";"Machadinho D'Oeste";"20";"Quinto BEC";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1100130";"Machadinho D'Oeste";"15";"Oriente Novo";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11005";"Alvorada D'Oeste";"1100148";"Nova Brasilândia D'Oeste";"05";"Nova Brasilândia D'Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100155";"Ouro Preto do Oeste";"25";"Rondominas";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100155";"Ouro Preto do Oeste";"05";"Ouro Preto do Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11007";"Vilhena";"1100189";"Pimenta Bueno";"05";"Pimenta Bueno";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11007";"Vilhena";"1100189";"Pimenta Bueno";"15";"Marco Rondon";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"10";"Abunã";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"25";"Mutum Paraná";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"40";"São Carlos";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"05";"Porto Velho";"08";"Zona 03"
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"05";"Porto Velho";"09";"Zona 04"
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"18";"Fortaleza do Abunã";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"45";"Vista Alegre do Abunã";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"16";"Demarcação";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"05";"Porto Velho";"06";"Zona 01"
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"05";"Porto Velho";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"20";"Jaci Paraná";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"05";"Porto Velho";"07";"Zona 02"
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"30";"Nazaré";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"15";"Calama";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"17";"Extrema";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100205";"Porto Velho";"35";"Nova Califórnia";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100254";"Presidente Médici";"15";"Estrela de Rondônia";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100254";"Presidente Médici";"25";"Vila Bandeira Branca";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100254";"Presidente Médici";"30";"Vila Camargo";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100254";"Presidente Médici";"05";"Presidente Médici";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1100254";"Presidente Médici";"20";"Novo Riachuelo";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1100262";"Rio Crespo";"05";"Rio Crespo";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100288";"Rolim de Moura";"05";"Rolim de Moura";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100296";"Santa Luzia D'Oeste";"05";"Santa Luzia D'Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11007";"Vilhena";"1100304";"Vilhena";"05";"Vilhena";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11005";"Alvorada D'Oeste";"1100320";"São Miguel do Guaporé";"20";"Santana do Guaporé";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11005";"Alvorada D'Oeste";"1100320";"São Miguel do Guaporé";"05";"São Miguel do Guaporé";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100338";"Nova Mamoré";"05";"Nova Mamoré";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100338";"Nova Mamoré";"12";"Jacynópolis";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100338";"Nova Mamoré";"15";"Nova Dimensão";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100338";"Nova Mamoré";"10";"Araras";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100338";"Nova Mamoré";"20";"Palmeiras";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11005";"Alvorada D'Oeste";"1100346";"Alvorada D'Oeste";"25";"Tancredópolis";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11005";"Alvorada D'Oeste";"1100346";"Alvorada D'Oeste";"05";"Alvorada D'Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11005";"Alvorada D'Oeste";"1100346";"Alvorada D'Oeste";"30";"Terra Boa";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100379";"Alto Alegre dos Parecis";"05";"Alto Alegre dos Parecis";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1100403";"Alto Paraíso";"05";"Alto Paraíso";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100452";"Buritis";"05";"Buritis";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100502";"Novo Horizonte do Oeste";"05";"Novo Horizonte do Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1100601";"Cacaulândia";"05";"Cacaulândia";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100700";"Campo Novo de Rondônia";"05";"Campo Novo de Rondônia";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100809";"Candeias do Jamari";"05";"Candeias do Jamari";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100809";"Candeias do Jamari";"20";"Rio Preto do Candeias";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1100908";"Castanheiras";"05";"Castanheiras";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11007";"Vilhena";"1100924";"Chupinguaia";"05";"Chupinguaia";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1100940";"Cujubim";"05";"Cujubim";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1101005";"Governador Jorge Teixeira";"15";"Colina Verde";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1101005";"Governador Jorge Teixeira";"05";"Governador Jorge Teixeira";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11001";"Porto Velho";"1101104";"Itapuã do Oeste";"05";"Itapuã do Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11006";"Cacoal";"1101203";"Ministro Andreazza";"05";"Ministro Andreazza";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1101302";"Mirante da Serra";"05";"Mirante da Serra";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1101401";"Monte Negro";"05";"Monte Negro";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1101435";"Nova União";"05";"Nova União";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11007";"Vilhena";"1101450";"Parecis";"05";"Parecis";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11008";"Colorado do Oeste";"1101468";"Pimenteiras do Oeste";"05";"Pimenteiras do Oeste";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11007";"Vilhena";"1101476";"Primavera de Rondônia";"05";"Primavera de Rondônia";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11007";"Vilhena";"1101484";"São Felipe D'Oeste";"05";"São Felipe D'Oeste";;
"11";"Rondônia";"1101";"Madeira-Guaporé";"11002";"Guajará-Mirim";"1101492";"São Francisco do Guaporé";"05";"São Francisco do Guaporé";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11005";"Alvorada D'Oeste";"1101500";"Seringueiras";"05";"Seringueiras";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1101559";"Teixeirópolis";"05";"Teixeirópolis";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1101609";"Theobroma";"05";"Theobroma";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1101708";"Urupá";"05";"Urupá";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11003";"Ariquemes";"1101757";"Vale do Anari";"05";"Vale do Anari";;
"11";"Rondônia";"1102";"Leste Rondoniense";"11004";"Ji-Paraná";"1101807";"Vale do Paraíso";"05";"Vale do Paraíso";;
"12";"Acre";"1202";"Vale do Acre";"12004";"Rio Branco";"1200013";"Acrelândia";"05";"Acrelândia";;
"12";"Acre";"1202";"Vale do Acre";"12005";"Brasiléia";"1200054";"Assis Brasil";"05";"Assis Brasil";;
"12";"Acre";"1202";"Vale do Acre";"12005";"Brasiléia";"1200104";"Brasiléia";"05";"Brasiléia";;
"12";"Acre";"1202";"Vale do Acre";"12004";"Rio Branco";"1200138";"Bujari";"05";"Bujari";;
"12";"Acre";"1202";"Vale do Acre";"12004";"Rio Branco";"1200179";"Capixaba";"05";"Capixaba";;
"12";"Acre";"1201";"Vale do Juruá";"12001";"Cruzeiro do Sul";"1200203";"Cruzeiro do Sul";"05";"Cruzeiro do Sul";;
"12";"Acre";"1202";"Vale do Acre";"12005";"Brasiléia";"1200252";"Epitaciolândia";"05";"Epitaciolândia";;
"12";"Acre";"1201";"Vale do Juruá";"12002";"Tarauacá";"1200302";"Feijó";"05";"Feijó";;
"12";"Acre";"1201";"Vale do Juruá";"12002";"Tarauacá";"1200328";"Jordão";"05";"Jordão";;
"12";"Acre";"1201";"Vale do Juruá";"12001";"Cruzeiro do Sul";"1200336";"Mâncio Lima";"05";"Mâncio Lima";;
"12";"Acre";"1202";"Vale do Acre";"12003";"Sena Madureira";"1200344";"Manoel Urbano";"05";"Manoel Urbano";;
"12";"Acre";"1201";"Vale do Juruá";"12001";"Cruzeiro do Sul";"1200351";"Marechal Thaumaturgo";"05";"Marechal Thaumaturgo";;
"12";"Acre";"1202";"Vale do Acre";"12004";"Rio Branco";"1200385";"Plácido de Castro";"05";"Plácido de Castro";;
"12";"Acre";"1201";"Vale do Juruá";"12001";"Cruzeiro do Sul";"1200393";"Porto Walter";"05";"Porto Walter";;
"12";"Acre";"1202";"Vale do Acre";"12004";"Rio Branco";"1200401";"Rio Branco";"05";"Rio Branco";;
